date,model_type,arsm2
2013-04-01,edificios_de_oficina,6743.0
2013-04-01,galpon,3621.0
2013-04-01,ph_moderno,6945.0
2013-04-01,torre_de_vivienda,5773.0
2013-04-01,vivienda_country,6873.0
2013-04-01,vivienda_en_altura,6420.0
2013-04-01,vivienda_industrializada,6497.0
2013-04-01,vivienda_tipo_duplex,6576.0
2013-04-01,vivienda_unifamiliar,8114.0
2013-08-01,edificios_de_oficina,7605.0
2013-08-01,galpon,4104.0
2013-08-01,ph_moderno,7880.0
2013-08-01,torre_de_vivienda,6523.0
2013-08-01,vivienda_country,7810.0
2013-08-01,vivienda_en_altura,7301.0
2013-08-01,vivienda_industrializada,7224.0
2013-08-01,vivienda_tipo_duplex,7524.0
2013-08-01,vivienda_unifamiliar,9305.0
2013-12-01,edificios_de_oficina,8130.0
2013-12-01,galpon,4406.0
2013-12-01,ph_moderno,8510.0
2013-12-01,torre_de_vivienda,7001.0
2013-12-01,vivienda_country,8407.0
2013-12-01,vivienda_en_altura,7909.0
2013-12-01,vivienda_industrializada,7748.0
2013-12-01,vivienda_tipo_duplex,8048.0
2013-12-01,vivienda_unifamiliar,9909.0
2013-02-01,edificios_de_oficina,6698.0
2013-02-01,galpon,3577.0
2013-02-01,ph_moderno,6893.0
2013-02-01,torre_de_vivienda,5738.0
2013-02-01,vivienda_country,6835.0
2013-02-01,vivienda_en_altura,6380.0
2013-02-01,vivienda_industrializada,6465.0
2013-02-01,vivienda_tipo_duplex,6492.0
2013-02-01,vivienda_unifamiliar,7950.0
2013-01-01,edificios_de_oficina,6639.0
2013-01-01,galpon,3545.0
2013-01-01,ph_moderno,6776.0
2013-01-01,torre_de_vivienda,5658.0
2013-01-01,vivienda_country,6694.0
2013-01-01,vivienda_en_altura,6277.0
2013-01-01,vivienda_industrializada,6359.0
2013-01-01,vivienda_tipo_duplex,6384.0
2013-01-01,vivienda_unifamiliar,7849.0
2014-01-01,edificios_de_oficina,8278.0
2014-01-01,galpon,4482.0
2014-01-01,ph_moderno,8705.0
2014-01-01,torre_de_vivienda,7146.0
2014-01-01,vivienda_country,8597.0
2014-01-01,vivienda_en_altura,8089.0
2014-01-01,vivienda_industrializada,7919.0
2014-01-01,vivienda_tipo_duplex,8212.0
2014-01-01,vivienda_unifamiliar,10082.0
2013-07-01,edificios_de_oficina,7558.0
2013-07-01,galpon,4060.0
2013-07-01,ph_moderno,7772.0
2013-07-01,torre_de_vivienda,6478.0
2013-07-01,vivienda_country,7665.0
2013-07-01,vivienda_en_altura,7221.0
2013-07-01,vivienda_industrializada,7099.0
2013-07-01,vivienda_tipo_duplex,7402.0
2013-07-01,vivienda_unifamiliar,9085.0
2013-06-01,edificios_de_oficina,7443.0
2013-06-01,galpon,4004.0
2013-06-01,ph_moderno,7676.0
2013-06-01,torre_de_vivienda,6388.0
2013-06-01,vivienda_country,7605.0
2013-06-01,vivienda_en_altura,7130.0
2013-06-01,vivienda_industrializada,7034.0
2013-06-01,vivienda_tipo_duplex,7274.0
2013-06-01,vivienda_unifamiliar,8956.0
2013-03-01,edificios_de_oficina,6732.0
2013-03-01,galpon,3593.0
2013-03-01,ph_moderno,6933.0
2013-03-01,torre_de_vivienda,5762.0
2013-03-01,vivienda_country,6855.0
2013-03-01,vivienda_en_altura,6407.0
2013-03-01,vivienda_industrializada,6483.0
2013-03-01,vivienda_tipo_duplex,6511.0
2013-03-01,vivienda_unifamiliar,8032.0
2013-05-01,edificios_de_oficina,6804.0
2013-05-01,galpon,3631.0
2013-05-01,ph_moderno,7000.0
2013-05-01,torre_de_vivienda,5824.0
2013-05-01,vivienda_country,6922.0
2013-05-01,vivienda_en_altura,6500.0
2013-05-01,vivienda_industrializada,6521.0
2013-05-01,vivienda_tipo_duplex,6635.0
2013-05-01,vivienda_unifamiliar,8168.0
2013-11-01,edificios_de_oficina,8094.0
2013-11-01,galpon,4368.0
2013-11-01,ph_moderno,8400.0
2013-11-01,torre_de_vivienda,6953.0
2013-11-01,vivienda_country,8354.0
2013-11-01,vivienda_en_altura,7793.0
2013-11-01,vivienda_industrializada,7644.0
2013-11-01,vivienda_tipo_duplex,8000.0
2013-11-01,vivienda_unifamiliar,9865.0
2013-10-01,edificios_de_oficina,8025.0
2013-10-01,galpon,4342.0
2013-10-01,ph_moderno,8328.0
2013-10-01,torre_de_vivienda,6872.0
2013-10-01,vivienda_country,8287.0
2013-10-01,vivienda_en_altura,7722.0
2013-10-01,vivienda_industrializada,7595.0
2013-10-01,vivienda_tipo_duplex,7938.0
2013-10-01,vivienda_unifamiliar,9827.0
2013-09-01,edificios_de_oficina,7865.0
2013-09-01,galpon,4271.0
2013-09-01,ph_moderno,8205.0
2013-09-01,torre_de_vivienda,6759.0
2013-09-01,vivienda_country,8183.0
2013-09-01,vivienda_en_altura,7577.0
2013-09-01,vivienda_industrializada,7496.0
2013-09-01,vivienda_tipo_duplex,7849.0
2013-09-01,vivienda_unifamiliar,9727.0
2020-04-01,edificios_de_oficina,63089.0
2020-04-01,galpon,35486.0
2020-04-01,ph_moderno,64760.0
2020-04-01,reforma_casa_chorizo,40419.0
2020-04-01,torre_de_vivienda,55543.0
