raw_value,model_type
edificio de oficinas,edificio de oficinas
edificios de oficina,edificio de oficinas
edificio en placa,edificio en placa
galpón,galpon
galpon,galpon
ph moderno,ph moderno
reciclaje casa chorizo,reforma casa chorizo
reforma casa chorizo,reforma casa chorizo
reforma de oficina,reforma de oficina
remodelaci3n ba&iacute3n y cocina,remodelacion baño y cocina
remodelaci3n ba&iacute3o y cocina,remodelacion baño y cocina
remodelación baño y cocina,remodelacion baño y cocina
torre de vivienda,torre de vivienda
torres de vivienda,torre de vivienda
vivienda country,vivienda country
vivienda en altura,vivienda en altura
vivienda en dóplex,vivienda en duplex
vivienda en dúplex,vivienda en duplex
vivienda tipo duplex,vivienda en duplex
vivienda industrializada,vivienda industrializada
vivienda unifamiliar,vivienda unifamiliar
